"","int","prevalence","precision","cpe","sta.cpe","fsd","sta.fsd","mip","sta.mip","stability"
"67","pres-_tmean+",0.116093896112345,0.57288947798218,0.295673843641989,1,0.0538368874080557,1,0.00255192331092075,0.7,0.7
"68","med_high-_pservice+",0.0877859413412875,0.572712775648502,0.294973638844473,1,-0.249406098788476,0,0.0182599904607085,1,0
"69","m_ppt-_tmean+",0.137013052644313,0.568442798538523,0.277524554156017,1,0.0725400525744233,1,-0.00524181838124561,0.1,0.7
"70","m_tmean+_medyr_built+",0.205476415457949,0.567948676244291,0.27549974248813,1,0.0489701338017404,1,-0.00651699398163635,0,1
"71","pgreen-_pservice+",0.163577778580583,0.566795325916276,0.270807066475263,1,0.0900786803972222,1,0.0203076776915966,1,0.5
"72","med_high-_pdev_low-",0.093331982432872,0.565536887652722,0.265708118965503,1,0.0959615392690338,1,0.00564547298500846,0.8,0.1
"73","pcountyrd-_pres-",0.0503693456980742,0.563398195634579,0.257042294141436,1,0.137904513270614,1,0.0111362277914741,0.8,0.1
"74","m_tmean+_pdev_low-",0.232561893591219,0.563353574043802,0.256806335252077,1,0.0472063818201822,1,-0.0146555656389397,0,1
"75","m_tmean+_pcountyrd+",0.146718992351437,0.562873869504375,0.254848458854365,1,0.0463278893568193,1,-0.0154955736662428,0,1
"76","m_tmean+_pdev_low+_ppt-",0.138090902414339,0.561610800632308,0.249722599921246,1,0.0974005178721025,1,-0.0705491435061054,0,0.3
"77","m_ppt+_pres+",0.0942657847459454,0.559963971665438,0.243043760736055,1,-0.0120776584023029,0.3,0.0487077095011368,1,0.4
"78","m_ppt+_pdev_low+",0.0988322004574403,0.558226669234272,0.23598888061615,1,-0.0108654417723978,0.3,0.0306079220333548,1,0.5
"79","m_tmean+_pres-",0.165020888410091,0.557768843011697,0.234135584184866,1,0.0467160009342317,1,-0.0246223370714129,0,1
"80","pdev_low+_pservice+",0.0968903256530066,0.554200335959905,0.219675410990403,1,-0.0398811023928119,0,0.0233705209604492,1,0.2
"81","ppt-_pservice+_tmean+",0.143885928505345,0.553745752938204,0.217831246972619,1,0.132293722679205,1,-0.0596006870871714,0,0.2
"82","pag+_tmean+",0.127986815127757,0.549696005345039,0.201458887275918,1,0.0742028113595344,1,-0.0387723563149807,0,0.7
"83","pres+_pservice+",0.0831352635407638,0.546828661207652,0.189891056427128,1,-0.146788936678547,0,0.037460378003939,1,0.1
"84","m_ppt+_pservice+",0.147397007502384,0.546547157648134,0.188745241767074,1,0.0239652568135452,0.9,0.0244712213158532,1,0.7
"85","m_tmean+_pservice-",0.0997576650272997,0.546469512490895,0.188445087104198,1,0.00402949337597569,0.7,-0.0451058318927235,0,0.7
"86","ppt-_psoilA-",0.237694897862482,0.543256175771838,0.17547143998283,1,0.10399568598072,1,-0.050209699644591,0,1
"87","ppt-_tmean+",0.355103766100068,0.541848617123497,0.169797325558941,1,0.0710337219305792,1,-0.0531391398342069,0,1
"88","m_ppt-_pdev_low+",0.0652160458840473,0.539735732828714,0.16129677720686,1,0.0430638791188205,1,-0.00308218319449521,0.4,0
"89","m_tmean+_ppt-",0.504869571713881,0.534342593426208,0.139596547676267,1,0.0641732986342942,1,-0.0675066816652846,0,1
"90","m_tmean+_pag+",0.176448776380387,0.533933087915636,0.137955053220119,1,0.0364589245282981,1,-0.0682865351809046,0,0.9
"91","pgreen-_ppt-",0.276323340731076,0.533211863304189,0.135053377382307,1,0.139662285173373,1,-0.0407609552136111,0,1
"92","m_ppt+_pdev_low-",0.110885694259873,0.532538759506202,0.132361069694283,1,0.0224838176214488,0.9,-0.00152063415756816,0.4,0.1
"93","med_high-_ppt-",0.195289925616536,0.531382371248593,0.127705776184378,1,0.0770263748554616,1,-0.0566029006549244,0,0.9
"94","pag-_ppt-",0.187759762057351,0.526727518725143,0.109027997218191,1,0.0515361048985304,1,-0.0645865416576836,0,1
"95","pdev_low-_pres+",0.0710306907897391,0.525746891035216,0.105093818432185,1,-0.0211588718604952,0.1,-0.000663247102327735,0.6,0.1
